wilderness,wildernessFull,photoCategory,photographerCategory,age,photo,title,titleFull,photographer,photographerLocation,text,photoInfo,winnerType,thumbnailPosition,lat,long,photoURL
aleutianIslands,"Aleutian Islands Wilderness, Alaska",Wildlife,Amateur,null,69_HenrietteBrasseur_BaldEagle_AK.jpg,Bald Eagle,"Bald Eagle, <em>Haliaeetus leucocephalus</em>",Henriette Brasseur,"Novato, California","<p>Climbing up steep hillsides, shimmying up precipices and lying down inside a camouflaged tent on the edge of cliffs to photograph bald eagles, I soon came to terms with my fears of possible injury and realized it was the adventure that mattered most. As I came around a bend, there on the hillside in front of me was a bald eagle enveloped by the most beautiful backdrop of golden grasses, greenery, and wildflowers. For me, the different elements in this image come together with the shapes, colors, and softness of the background versus the strength, character, and dominance that this magnificent eagle possesses.</p>",Canon EOS-1D Mark II; EF 500 mm 1:4L IS USM lens; 1/500 sec at f/8; ISO 400 Gitzo 1325 tripod; Wimberley Head. ,Honorable Mention,right,51.768,-177.953,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/69_HenrietteBrasseur_BaldEagle_AK.jpg
alpineLakes,"Alpine Lakes Wilderness, Washington",Scenic Landscape,Pro,null,22_AdrianKlein_MountainPeak_WA.jpg,Alpine Larch Trees,"Alpine Larch Trees, <em>Larix lyallii Parl</em>",Adrian Klein,"Portland, Oregon","<p>My friend and I started out on our adventure with a forecast that looked mostly promising, but a storm rolled in with wet snow and sleet. The next 36 hours we mainly spent in our tents, hunkered down. On the third day, the weather calmed and the skies cleared, revealing golden trees, crystal clear water, sparkling granite, and jagged peaks.</p>
<p>On our way back to camp after a hike, we had a perfect view of Prusik Peak through the golden larches. I cannot imagine a better frame for a magnificent peak than the larches that watch guard over this treasured gem of a wilderness.  </p>",Canon EOS 5D; EF17-40mm f/4L USM lens at 40mm; Hoya Pro1 digital polarizer; 1/60 sec at f/14; ISO 200; Induro Adventure AKB; Induro DM01.,Honorable Mention,center,47.5705,-121.163,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/22_AdrianKlein_MountainPeak_WA.jpg
alpineLakes,"Alpine Lakes Wilderness, Washington",People in Wilderness,Amateur,null,61_DanielSilverberg_Backpacker_AlpineLake_WA.jpg,Backpacker at Sunrise over Isolation Lake,Backpacker at Sunrise over Isolation Lake,Daniel Silverberg,"Seattle, Washington","<p>Hiking into Washington&rsquo;s Enchantment Lakes, our party was greeted with raging thunderstorms. We reached the crux at Aasgard Pass as the clouds parted, continuing to camp at Isolation Lake. The next morning, my girlfriend Claire and I arose to greet the dawn. Claire brought her sleeping bag to stay warm as we enjoyed the show. I started photographing into the sunrise, but turned around to find Dragontail Peak awash in soft light filtered through the clouds. The fog and rain moved in shortly after sunrise and it was the last of the sun we would see for the day.</p>",Canon EOS 7D; 10-22mm f/3.5-4.5 lens at 10mm; 1/13sec at f/14; ISO 100; Gitzo GT0541 tripod; Markins Q-Ball Q3T head.,Honorable Mention,left,47.5705,-121.163,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/61_DanielSilverberg_Backpacker_AlpineLake_WA.jpg
anselAdams,"Ansel Adams Wilderness, California",Scenic Landscape,Pro,null,26_BradGoldpaint_AnselAdams_CA.jpg,Banner Peak Alpenglow,Banner Peak Alpenglow,Brad Goldpaint,"Las Vegas, Nevada","<p>Under dark, ominous rain clouds, we hiked Banner Peak, the second-tallest mountain in the Sierra Nevada range. We heard rolling thunder, an ear-splitting crack, and then a blinding white flash surrounded us. Too much snowmelt had left the trail to Thousand Island Lake covered in small ponds. Quickly, we made our way through slick, forested terrain and camped near the lake. I still had high hopes of capturing the brilliant shot I&rsquo;d been seeing in my mind. </p>
<p>Before long, the storm clouds parted and revealed the first rays of sunlight, cast on the mountain and reflecting on the lake.  </p>",Nikon D700; AF-S 14-24mm f/2.8G ED lens; 1/8 sec at f/18; ISO 200; Benro C-169M8 Travel Angel tripod; Benro B-0 head.,Honorable Mention,center,37.9221,-119.241,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/26_BradGoldpaint_AnselAdams_CA.jpg
anselAdams,"Ansel Adams Wilderness, California",People in Wilderness,Amateur,null,60_GregRussell_HikerSilhouette_AnselAdams_CA.jpg,Hiker Silhouette,Hiker Silhouette,Greg Russell,"Riverside, California","<p>Our Wildernesses represent much more than acreage and species diversity&mdash;they offer a place for us to experience quality of life. We visit wilderness to find wildness; hopefully finding it will make us kinder, gentler, sweeter.</p> <p>I now watch my son discover his own wild nature through play in the outdoors. Observing him, one becomes keenly aware that there is a quality of wildness in the wilderness experience. Much emphasis today is placed on protecting wilderness as a parcel of land, but saving our own wild nature is just as important. In wildness is the preservation of us.</p>",Canon EOS 30D; EF 24-105 f/4L IS USM lens; 1/15 sec at f/14; ISO 100; Gitzo GT 1541 tripod; Induro BHD-1 head.,Honorable Mention,left,37.9221,-119.241,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/60_GregRussell_HikerSilhouette_AnselAdams_CA.jpg
anselAdams,"Ansel Adams Wilderness, California",People in Wilderness,Amateur,null,91_JohnMorey_ThousandIslandLakeRainbow_CA.jpg,Rainbow over Thousand Island Lake,Rainbow over Thousand Island Lake,John Morey,"Tempe, Arizona","<p>Within an hour of arrival at the lake, violent storms forced me into hiding all day; later, I retired for the evening without an opportunity to dry out. The storms returned the next morning. Just before sunset, the inside of my shelter turned ablaze. I heard someone near the shore yell out, &ldquo;Rainbow!&rdquo; I saw it and yelled the same. And in the last moments, while composing my shot, I heard the same report echoing at different points around the lake. Then the sky turned dark. After 26 hours of bad weather, this image was my reward&mdash;and I was at peace.</p>",Canon EOS 60D; EF 15mm f/2.8 Fisheye lens; 1/100 sec at f/5.6; ISO 100; hand-held. ,Honorable Mention,center,37.9221,-119.241,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/91_JohnMorey_ThousandIslandLakeRainbow_CA.jpg
badlands,"Badlands Wilderness, South Dakota",Most Inspirational Moment,Amateur,null,49_JonathanAuerbach_BadlandsSunrise_SD.jpg,"Sunrise, Badlands National Park","Sunrise, Badlands National Park",Jonathan B. Auerbach,"Lyons, Colorado","<p>The Badlands of South Dakota is a terrific dark-sky location, perfect for stargazing, learning about astronomy, and night photography. Shooting at night requires clear skies, and I managed to get in several nice nights of shooting before some bad weather moved in late one afternoon. I went to bed thinking that the clouds could make for an interesting sunrise, but I knew it would be hit or miss.</p>
<p>The next morning, soon after I had crawled out of my sleeping bag and set up my gear, the sun &ldquo;hit&rdquo; perfectly through a gap in the clouds on the horizon. It lit up the fantastic landscape with a brilliant warm orange glow. </p>",Pentax K-5; SMC DA Series 16-50mm f/2.8 ED AL IF SDM wide angle lens at 31mm; 1/6 sec at f/8; ISO 100; Bogen Series 3 tripod; Really Right Stuff BH-55 head.,Honorable Mention,center,43.8376,-102.348,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/49_JonathanAuerbach_BadlandsSunrise_SD.jpg
beringSea,"Bering Sea Wilderness, Alaska",Wildlife,Amateur,null,77_RobertGoodell_HornedPuffins_AK.jpg,Horned Puffins,"Horned Puffins, <em>Fratercula corniculata</em>",Robert Goodell,"Santa Barbara, California",<p>Visiting St. George Island in the Bering Sea was one of the best experiences I have ever had. It is raw and wonderful. The pelagic bird life you experience there is overwhelming. In the summer these birds come to nest on the cliffs. One of the species you see is the Horned Puffin in its breeding plumage. Since they are mating and nesting you have an opportunity to see interaction between the male and female such as billing. I was quite keen to experience this behavior and photograph it. It is somewhat challenging to get a good shot as I was photographing from the bluffs and was quite high up.</p>,Nikon D2X; 400mm f/2.8 AFS ED lens; TC-20 E 2X teleconverter; 1/60 sec at f/11; ISO 100; Gitzo GT 3541LS tripod; Kirk King Cobra Gimbal Head. ,Honorable Mention,left,60.3721,-172.647,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/77_RobertGoodell_HornedPuffins_AK.jpg
bisti,"Bisti/De-Na-Zin Wilderness, New Mexico",Scenic Landscape,Amateur,null,16_SamuelFeron_BistiDeNaZin_NM.jpg,Mineral Aurora,Mineral Aurora,Samuel Feron,"Noisy-le Sec, France","<p>Bisti/De-Na-Zin is a magic place to stay for hours or days, exploring the fascinating structures and rocks, canyons, and strange formations. This day was very cloudy and a strong storm had just passed. The light was exceptional, with ""holes"" in the sky where the light tried to pass through. Due to the strong wind, these light holes were quick to move. It evoked an Aurora Borealis effect of moving lights.</p>",Canon EOS 5D Mark II; EF 16-35mm f/2.8L II USM lens at 35mm; 1/10 sec at f/22; ISO 200 Gitzo Mountainer; Arca-Swiss Monoball Z1.,Honorable Mention,center,36.3032,-108.116,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/16_SamuelFeron_BistiDeNaZin_NM.jpg
bisti,"Bisti/De-Na-Zin Wilderness, New Mexico",Scenic Landscape,Pro,null,56_NataliaPlekhanova_BistiBadlands_NM.jpg,Bisti/De-Na-Zin Wilderness,Bisti/De-Na-Zin Wilderness,Natalia Plekhanova,"Chicage, Illinois","<p>On my journey to the American South West one of the places that I wanted to photograph was Bisti/De-Na-Zin Wilderness. This is one of the most unusual, surreal scenery in a remote wilderness area of New Mexico region; fantasy world of interesting rock formations and fossils, resembling deformed pillars, cones, mushrooms, castles and other odd creations. It was great experience to be and photograph this very unique place, the actual treasure formed by millions years and remains untouched by civilization&rdquo;.</p>","Canon EOS 5D Mark II; EF24-70mm f/2.8L USM lens at 59mm; 1/13 at f/11, ISO 200; Manfrotto Neotec tripod and 468MGRC2 head.",Honorable Mention,center,36.3032,-108.116,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/56_NataliaPlekhanova_BistiBadlands_NM.jpg
